Ec,Es,ds,Aw,hs,tc,ks
35.415,210,22,174,200,400,410.4
35.415,210,22,174,200,400,451.3
35.415,210,22,174,200,400,520.1
35.415,210,22,174,200,400,449.4
34.627,210,22,174,200,400,372.9
34.627,210,22,174,200,400,446.5
34.627,210,22,174,200,400,533.4
34.627,210,22,174,200,400,319.8
34.627,210,22,174,200,400,292.6
34.627,210,22,174,200,400,243.4
34.627,210,22,174,200,400,196.2
34.627,210,22,174,200,400,213.8
34.627,210,22,174,200,400,316
34.627,210,22,174,200,400,257.8
34.627,210,22,174,200,400,226.3
34.5,210,22,174,200,400,483.2
34.5,210,22,174,200,400,486
34.5,210,22,174,200,400,516.1
34.5,210,22,174,200,400,457.25
34.5,210,22,174,200,400,496.25
28.60790489,210,22,174,100,150,281.05
34.45269016,210,22,174,100,150,311.25
37.9,200,22,174,150,250,453.1
34.4,200,22,174,150,250,337.1
37.9,200,22,174,150,250,279.4
37.9,200,22,174,150,250,371
34.4,200,22,174,150,250,285
37.9,200,22,174,150,250,294.85
32.9,183.5,22.2,174,100,230,387.05
32.9,183.5,22.2,174,100,230,461.2
32.9,183.5,22.2,174,100,230,459.3
32.9,183.5,22.2,174,100,230,480.15
32.9,183.5,22.2,174,100,230,459.3
32.9,183.5,22.2,174,100,230,475.1
43.99,208.51,25,217,60,75,632.96
43.852,208.51,25,217,60,75,500.9
36.93484446,210,25,217,200,400,603.75
36.93484446,210,25,217,200,400,477.5
36.93484446,210,25,217,200,400,401.15
36.93484446,210,25,217,200,400,419.6
39.19619625,210,25,217,150,200,605
39.19619625,210,25,217,150,200,706
37.117,210,25,217,200,400,394.4
37.117,210,25,217,200,400,447.9
37.117,210,25,217,200,400,601.4
35.498,210,25,217,200,400,477.6
35.498,210,25,217,200,400,380
35.498,210,25,217,200,400,480.6
35.498,210,25,217,200,400,438.5
35.498,210,25,217,200,400,351.1
35.498,210,25,217,200,400,419.3
35.498,210,25,217,200,400,372.3
35.498,210,25,217,200,400,330.1
35.498,210,25,217,200,400,284.6
35.498,210,25,217,200,400,374.9
35.498,210,25,217,200,400,443.3
35.498,210,25,217,200,400,363.9
37.20055557,210,25,217,220,400,181.55
37.20055557,210,25,217,220,400,169.95
37.20055557,210,25,217,220,400,154.3
37.20055557,210,25,217,220,400,193.75
37.20055557,210,25,217,220,400,463.15
37.20055557,210,25,217,220,400,277.07
29.2775533,210,25.4,266.7,101.1,177.8,320.45
30.33056756,210,25.4,266.7,100.8,177.8,226.06
48,210,30,266,70,150,765.6
33,210,30,266,150,250,204.3
33,210,30,266,150,250,204.3
33,210,30,266,150,250,204.3
33,210,30,266,150,250,443.35
33,210,30,266,150,250,443.35
33,210,30,266,150,250,443.35
33.96377675,210,30,266,150,250,277.05
33.96377675,210,30,266,150,250,277.05
33.96377675,210,30,266,150,250,277.05
48,210,30,266,150,250,494.35
48,210,30,266,150,250,494.35
48,210,30,266,150,250,494.35
